词语	拼音	词性	英语	例句
球场	qiúchǎng	n	court	足球比赛时，运动员似在球场上混战。
守	shǒu	v	defend	他们是守陵人。
水平	shuǐpíng	n	level	5月份的汉语水平考试什么时候开始报名?
跳绳	tiàoshéng	n	rope skipping	我喜欢跳绳。
武术	wǔshù	n	a martial art	是的，武术是中国的，也是世界的。
休息	xiūxi	v	rest	休息一会儿吧。
运动员	yùndòngyuán	n	athletes	运动员入场了。
短跑	duǎnpǎo	n	sprint	他是著名的短跑选手
更衣室	gēngyīshì	n	changing room	男部、女部从两个门分别进入更衣室
教练	jiàoliàn	n	coach	这是我的教练。
太极拳	tàijíquán	n	taiji boxing	最近又普及上太极拳了
训练	xùnliàn	v	train	坚持训练，一定会取得好成绩。
泳衣	yǒngyī	n	swimsuit	我没有泳衣，怎么游泳？
暂停	zàntíng	v	suspend	不过每一局都可以叫一个三十秒的暂停。
搭档	dādàng	n	partner	这是我的搭档。
防守	fángshǒu	v	defend	无论是托球，进攻、防守…
纪录	jìlù	v	record	当然你要做纪录。
健美	jiànměi	a	aerobics	我现在每天都去健美班锻炼。
较量	jiàoliàng	v	contest	跟世界级较量？
配合	pèihé	v	coordinate	篮球是团体项目，需要大家一起配合。
毅力	yìlì	n	willpower	当你有信心、有毅力、有勇气，
瘦身	shòu shēn	v	slimming	瑜伽对瘦身很有效果
提升	tíshēng	v	promote	你会得到你应有的提升，
体能	tǐnéng	n	physical fitness	多锻炼，多储备体能，比赛时就不会觉得特别累。
消耗	xiāohào	v	consume	至少还会消耗一到两个人。
瑜伽	yújiā	n	yoga	瑜伽对瘦身很有效果
白	bái	a	white	雪白白的！
公园	gōngyuán	n	park	我想去公园玩。
红	hóng	a	red	花好红啊！
花	huā	n	flower	花好红啊！
黄	huáng	a	yellow	秋天到了，树叶都黄了。
蓝	lán	a	blue	天很蓝。
绿	lǜ	a	green	树绿绿的。
毛	máo	n	hair	叶子上毛茸茸的。
美	měi	a	beautiful	郊外的风景真美呀！
鸟	niǎo	n	bird	太美了！看，湖边有好多鸟。
山	shān	n	mountain	明天是星期六，我们去爬香山，怎么样？
树	shù	n	tree	我们在装饰圣诞树。
照片	zhàopiàn	n	photo	我今天得多拍点儿照片
风景	fēngjǐng	n	scenery	郊外的风景真美呀！
景色	jǐngsè	n	scenery	景色真好，来，一起照相！
拍	pāi	v	take	我今天得多拍点儿照片
骑	qí	v	ride	骑自行车去怎么样？
叶	yè	n	leaf	秋天到了，树叶都黄了。
照相	zhàoxiàng	v	take?photos	景色真好，来，一起照相！
紫	zǐ	a	purple	紫色的花，真好看。
放松	fàngsōng	v	relax	这里是休假放松的好地方。
门票	ménpiào	n	admission ticket	打扰了，请问门票多少钱？
拍照	pāizhào	v	take?photos	它不仅可以上网、收发彩信，还可以录音、拍照，非常实用。
植物园	zhíwùyuán	n	botanical garden	我们周末去植物园怎么样？
郊外	jiāowài	nl	outskirts	郊外的风景真美呀！
免费	miǎnfèi	v	free of charge	周末是免费的。
欣赏	xīnshǎng	v	appreciate	以后别说这样的话了！我很欣赏他的这幅画。
休假	xiūjià	v	take?a?vacation	这里是休假放松的好地方。
郊游	jiāoyóu	v	outing	你愿意跟我们一起去郊游吗？
电视	diànshì	n	television	把电视打开。
电影	diànyǐng	n	film	你喜欢看电影吗？
新	xīn	a	new	附近电影院演一部新电影，你看不看？
棒	bàng	n	excellent	这部片子是不是很棒？
部	bù	n	measure word	附近电影院演一部新电影，你看不看？
场	chǎng	q	measure word	刚下了一场大雨。
大片	dàpiàn	n	blockbuster	电影大片就得上电影院看，效果才好。
电影院	diànyǐngyuàn	n	cinema	附近电影院演一部新电影，你看不看？
动画片	dònghuàpiàn	n	cartoon	动画片是一张张地绘画逐格拍摄出来的
故事	gùshi	n	story	故事情节和演技都是一流的。
节目	jiémù	n	program	星期三晚，什么节目？
排	pái	v	row	我的座位在第三排。
爱情	àiqíng	n	love	我喜欢看爱情片。
表演	biǎoyǎn	v	perform	他表演得非常不好。
感人	gǎnrén	v	moving	这部电影很感人。
广告	guǎnggào	n	advertisement	电视里的广告太多了。
画面	huàmiàn	n	frame	画面非常漂亮。
明星	míngxīng	n	star	这是我最喜欢的明星。
片子	piānzi	n	film	什么片子?
色彩	sècǎi	n	color	这部电影色彩真漂亮！
调	tiáo	v	adjust	把音量调小点儿。
演	yǎn	v	play	附近电影院演一部新电影，你看不看？
演员	yǎnyuán	n	performer	演员演得怎么样啊？
出场	chūchǎng	v	appear on the scene	到你出场了。
电视剧	diànshìjù	n	TV play	你觉得这个电视剧怎么样？
碟	dié	n	disk	有没有什么碟，是你没看过的？
功夫片	gōngfūpiàn	n	kungfu film	我喜欢看功夫片。
国产	guóchǎn	a	domestic	你说看国产片还是看外国片？
换台	huàn tái	x	change channel	
记者	jìzhě	n	reporter	25个记者的。
角色	juésè	n	role	他演过许多不同的角色
精彩	jīngcǎi	a	marvellous	那年演出的最精彩的戏。
偶像	ǒuxiàng	n	idol	在这个世界上，你就是他的偶像
热门	rèmén	a	popular	成为了热门话题。
遥控器	yáokòngqì	n	remote control	把遥控器给我。
一流	yīliú	a	first-class	故事情节和演技都是一流的。
一线	yīxiàn	n	frontline	你不接小角色就想当一线演员，
音量	yīnliàng	n	volume	把音量调小点儿。
影片	yǐngpiàn	n	film	这是我昨天看的那部影片。
影星	yǐngxīng	n	movie star	最近又开始选最佳影星了。
直播	zhíbō	v	live telecast	有一场足球赛的现场直播。
重播	chóngbō	v	replay	一月五日上午九时，第二套节目，中国队对保加利亚队，当日晚第套节目重播这场比赛的录像。
主角	zhǔjué	n	leading role	你认为女主角演得怎么样？
包场	bāochǎng	v	make a block booking	我们照旧包场吧。
采访	cǎifǎng	v	interview	第一次接受媒体采访。
出演	chūyǎn	v	play	作为配角出演了一部电视剧，
导演	dǎoyǎn	v	director	来，导演，
高超	gāochāo	a	superb	很久没看过演技如此高超的电影了。
剧院	jùyuàn	n	theater	买下这个舞台呢，剧院呀，
开演	kāiyǎn	v	show	请问电影几点开演？
科幻	kēhuàn	j	science fiction	这两部作品，都充满大胆的想象，都被公认为科幻作品。
幕后	mùhòu	nl	behind the scenes	这位就是我们幕后大老板。
配音	pèiyīn	v	dub	要不你说12345，我们后期配音。
票房	piàofáng	n	box office	首先是票房保证，潘如玉！
情节	qíngjié	n	plot	故事情节和演技都是一流的。
上映	shàngyìng	v	release	我电影上映的时候，
摄影	shèyǐng	v	photography	万一摄影这一行做不成功的话，
生动	shēngdòng	a	vivid	我觉得这个电影不错，故事很生动，很有意思。
卫视	wèishì	j	satellite TV	我们是太阳卫视的。
喜剧	xǐjù	n	comedy	他们有很多都是带滑稽性的喜剧人物，但品质却大不相同。
演技	yǎnjì	n	acting skill	故事情节和演技都是一流的。
影像	yǐngxiàng	n	image	我喜欢影像，
娱乐	yúlè	v	entertainment	春节期间有没有其他娱乐活动呢？
娱乐圈	yúlè quān	n	entertainment circle	我性格这么纯情，不可以被娱乐圈污染的。
真人秀	zhēnrén xiù	x	reality show	
报道	bàodào	v	report	本台报道，
剧本	jùběn	n	script	但剧本就是
灵感	línggǎn	n	inspiration	突然我的灵感就来了，
频道	píndào	n	channel	换个频道。
通讯	tōngxùn	n	communication	过去两个星期的通讯记录。
银幕	yínmù	n	screen	我这才发现他的背后是一个很宽的立体银幕
造型	zàoxíng	v	modelling	这是他在《12月迷情》的造型。
转播	zhuǎnbō	v	relay	这是实况转播。
发	fà	n	hair	我要剪头发。
护肤	hùfū	v	Skin care	现在的护肤产品很多。
脸	liǎn	n	face	你的脸好白啊。
头发	tóufa	n	hair	我要剪头发。
刮	guā	v	shave	你得刮胡子了。
胡子	húzi	n	beard	你得刮胡子了。
剪	jiǎn	v	shear	我要剪头发。
理发	lǐfà	v	have a haircut	你好，我想理发。
眉毛	méimao	n	eyebrow	能给我描一下眉毛吗？
年轻	niánqīng	a	young	你看起来很年轻啊。
涂	tú	v	apply	我想涂指甲油。
指甲	zhǐjia	n	nail	我想剪指甲。
按摩	ànmó	v	massage	我想做个按摩。
唇	chún	n	lip	她把嘴唇紧紧合在一起
发型	fàxíng	n	hair style	我想换个新发型。
口红	kǒuhóng	n	lipstick	涂点口红吧，好看一些。
理	lǐ	v	cut	你好，我想理发。
美发	měifà	v	hairdressing	我们去美发吧！
美容	měiróng	v	cosmetology	你好，我想做个面部美容。
面部	miànbù	n	face	你好，我想做个面部美容。
皮肤	pífū	n	skin	在室外工作使你皮肤颜色好。
霜	shuāng	n	frost	你好，帮我拿一瓶西瓜霜。
嘴唇	zuǐchún	n	lips	她把嘴唇紧紧合在一起
肥胖	féipàng	a	obesity	还好吧，不算肥胖，只是肉有点多。
减肥	jiǎnféi	v	reduce weight	你得减肥了，看看你这身材！
睫毛	jiémáo	n	eyelash	她的睫毛长长的，真好看。
苗条	miáotiao	a	slim	她长得不算漂亮，可身材十分苗条
清洁	qīngjié 	v	clean	我想做个面部清洁
香水	xiāngshuǐ	n	perfume	这么贵的香水我可用不起
脂肪	zhīfáng	n	fat	要减肥了，你看，身上的脂肪一层层的。
棕色	zōngsè	n	brown	我想染成棕色。
保养	bǎoyǎng	v	maintain	下面再把保养的方法介绍给大家
过敏	guòmǐn	a	allergy	没关系，都是过敏性鼻炎的症状。
化妆	huàzhuāng	v	makeup	我得化妆，你再等我几分钟。
面膜	miànmó	n	facial mask	先做面膜，然后再洗脸。
描	miáo	v	trace	能给我描一下眉毛吗？
染	rǎn	v	dye	我想染染指甲。
推拿	tuīná	v	massage	接下来是…推拿法。
皱纹	zhòuwén	n	wrinkle	你脸上都有皱纹了。
滋润	zīrùn	a	moist	她的生活过得很滋润。
保健	bǎojiàn	v	healthcare	小保健。
保湿	bǎoshī	v	Moisture	你的脸太干了，得好好保湿。
补水	bǔshuǐ 	v	rehydrate	你的脸太干了，得好好补水。
敷	fū	v	apply	将面膜直接敷在脸上就可以了
护理	hùlǐ	v	nurse	你好，我想给头发做个护理。
洁面	jiémiàn 	v	cleanse	我的脸太黄了，我想做个洁面
美白	měibái	n	skin whitening	我的脸太黄了，想做个美白。
新陈代谢	xīn chén dàixiè	i	the new supersedes the old	同时，人类新陈代谢和活动的产物，也要排放到环境中去
唱	chàng	v	sing	你唱得非常好。
歌	gē	n	song	有中文歌吗？
唱歌	chànggē	v	sing	看不出来，麦克唱歌那么好听。
钢琴	gāngqín	n	piano	今天下午我们的新钢琴将运到了。
歌声	gēshēng	n	singing	她的歌声真好听低。
好听	hǎotīng	a	pleasant to hear	看不出来，麦克唱歌那么好听。
首	shǒu	n	measure word	我刚点了一首英文歌。咱们一起唱吧。
音乐	yīnyuè	n	music	你喜欢音乐吗？
歌词	gēcí	n	lyric	这首歌真好听，歌词也很好。
歌迷	gēmí	n	fan	我是他的歌迷。
歌手	gēshǒu	n	singer	你喜欢哪个歌手的歌呢？
歌星	gēxīng	n	singing star	他是一名歌星了
华语	Huáyǔ	n	Chinese	刘德华是华语乐坛的常青树
吉他	jítā	n	guitar	你会弹吉他吗？
曲子	qǔzi	n	tune	那么多好曲子我都吹不过来了
现代	xiàndài	nt	modern	古典的还是现代的？
演出	yǎnchū	v	show	他的演出很不错！
唱片	chàngpiàn	n	record	这是我用来保存唱片的盒子。
合唱	héchàng	n	chorus	合唱可以四个人,也可以许多人
乐队	yuèduì	n	band	我担任不好乐队指挥。
流行	liúxíng	v	popular	你喜欢流行歌曲吗？
演唱	yǎnchàng	v	sing	观众为演员出色的演唱喝彩鼓掌。
作品	zuòpǐn	n	works	这是他的代表作品。
古典	gǔdiǎn	a	classical	古典的还是现代的？
美妙	měimiào	a	wonderful	这首歌真好听，歌词伴奏都如此美妙。
民歌	mín’gē	n	folk song	我喜欢听世界名曲，还喜欢听民歌。
旋律	xuánlǜ	n	melody	这首歌旋律优美！
摇滚	yáogǔn	v	rock	我很喜欢摇滚。
艺人	yìrén	n	artist	现在艺人也受人尊重了。
创作	chuàngzuò	v	literary creation	去刺激他的创作，
专辑	zhuānjí	n	album	新的专辑马上就要出来了。
节	jié	n	section	中秋节快乐！
礼物	lǐwù	n	gift	你的礼物！
春节	Chūnjié	nt	Spring Festival	春节是什么时候？
蛋糕	dàngāo	n	cake	我要这个蛋糕。
观看	guānkàn	v	watch	人们会观看龙舟比赛，吃粽子等。
过年	guònián	v	celebrate the Spring Festival	你们怎么过年？
节日	jiérì	nt	festival	在这团聚的日子里，祝你和你的家人节日快乐。
快乐	kuàilè	a	happy	不快乐呢？
母亲节	Mǔqīnjié	nt	Mother's Day	五月的第二个星期天是母亲节。
生日	shēngrì	nt	birthday	是我的生日，
新年	xīnnián	nt	new year	新年快乐。
烟花	yānhuā	n	fireworks	放烟花爆竹是最传统的春节习俗。
元旦	Yuándàn	nt	New Year's Day	他经过反复考虑，终于放弃了回家过元旦的机会。
月饼	yuèbǐng	n	moon cake	中秋节吃月饼。
拜年	bàinián	v	pay New Year's call	拜年是春节的重要习俗。
灯笼	dēnglóng	n	lantern	他们把所有的灯笼都打出来了。
儿童节	értóngjié	n	Children's Day	在六一儿童节，我感到和你们有说不完的话
古代	gǔdài	nt	ancient	在古代，重阳节有登高风俗。
国庆	guóqìng	nt	National Day	国庆节你打算怎么过呢？
红包	hóngbāo	n	red packet	发红包，发红包喽！
举办	jǔbàn	v	host	春节时，很多地方会举办庙会。
平安	píng'ān	a	safe	一路平安！
中秋	Zhōngqiū	nt	Mid-autumn Festival	中秋节快乐！
中秋节	Zhōngqiūjié	nt	Mid-autumn Festival	中秋节快乐！
祝福	zhùfú	v	blessing	祝福您和家人和和美美。
粽子	zòngzi	n	traditional Chinese rice-pudding	人们会观看龙舟比赛，吃粽子等。
除夕	chúxī	nt	New Year's Eve	除夕那天,天刚黑孩子们就点开灯笼了。
传统	chuántǒng	n	tradition	中国人过春节有很多传统习俗。
灯谜	dēngmí	n	lantern riddle	猜灯谜是元宵节一项重要的活动。
端午	Duānwǔ	nt	Dragon Boat Festival	在端午节，人们通常会做些什么呢？
端午节	Duānwǔjié	nt	Dragon Boat Festival	在端午节，人们通常会做些什么呢？
纪念	jìniàn	v	commemorate	清明节是纪念祖先的仪式。
康乃馨	kāngnǎixīn	n	carnation	母亲节送一支康乃馨给妈妈！
龙舟	lóngzhōu	n	dragon boat	人们会观看龙舟比赛，吃粽子等。
农历	nónglì	n	lunar calendar	春节是农历正月初一。
清明	Qīngmíng	nt	Qingming	清明节的主要仪式是扫墓。
清明节	Qīngmíngjié	nt	Qingming Festival	清明节是纪念祖先的仪式。
圣诞	Shèngdàn	n	Christmas	圣诞快乐！
团圆	tuányuán	v	reunion	祝中秋节快乐，月圆人团圆。
万事如意	wànshì rúyì	i	everything goes well	祝你在新的一年万事如意，心想事成。
新春	xīnchūn	nt	Chinese New Year	祝你新春愉快。
压岁钱	yāsuìqián	n	lucky money	过春节了，爷爷奶奶给我很多压岁钱
烟火	yānhuǒ	n	fireworks	除夕我们观看了壮观的烟火表演。
一帆风顺	yì fān fēng shùn	i	everything is going smoothly	祝你新的一年一帆风顺。
元宵	yuánxiāo	n	glutinous rice balls for Lantern Festival	正月十五民间有吃元宵的习俗。
元宵节	Yuánxiāojié	nt	Lantern Festival	元宵节是每年农历的正月十五。
正月	zhēngyuè	nt	lunar January	春节是农历正月初一。
装饰	zhuāngshì	v	decorate	我们在装饰圣诞树。
祖先	zǔxiān	n	ancestor	清明节是纪念祖先的仪式。
爆竹	bàozhú	n	firecracker	放烟花爆竹是最传统的春节习俗。
春联	chūnlián	n	Spring Festival couplets	大门上贴上新的鲜红的春联
风俗	fēngsú	n	customs	在古代，重阳节有登高风俗。
民间	mínjiān	n	folk	正月十五民间有吃元宵的习俗。
扫墓	sǎomù	v	sweep the tombs	清明节的主要仪式是扫墓。
心想事成	xīn?xiǎng shì chéng	i	may all your wishes come true	祝你在新的一年万事如意，心想事成。
许愿	xǔyuàn	v	vow	先等一下，先许愿！
重阳节	Chóngyángjié	nt	Double Ninth Festival	在古代，重阳节有登高风俗。
感恩	Gǎn’ēn	v	thanksgiving	他们在感恩节感谢上帝。
纪念日	jìniànrì	n	anniversary of important events	我们的结婚纪念日。
庙会	miàohuì	n	temple fair	春节时，很多地方会举办庙会。
团聚	tuánjù	v	reunite	在这团聚的日子里，祝你和你的家人节日快乐。
习俗	xísú	n	custom	正月十五民间有吃元宵的习俗。
仪式	yíshì	n	ceremony	清明节是纪念祖先的仪式。
上学	shàngxué	v	go to school	你在哪个学校上学？
大学	dàxué	n	university	我叫比尔·安德鲁，美国人，毕业于纽约大学。
电脑	diànnǎo	n	computer	有，我在一家小的电脑公司工作了三年。
强	qiáng	a	strong	我的组织能力很强。
上班	shàngbān	v	go to work	你最快可以什么时候来上班呢？
说话	shuōhuà	v	speak	我不太擅长说话。
通知	tōngzhī	n	notice	感谢你来参加我们公司的面试。我们会再通知你的。
投	tóu	v	throw	什么原因使你决定投身这个行业呢？
做事	zuòshì	v	work	我做事非常有热情。
毕业	bìyè	v	graduate	我叫比尔·安德鲁，美国人，毕业于纽约大学。
出生	chūshēng	v	birth	我叫David，住在上海，出生于1982年。
工资	gōngzī	n	wages	每月工资是多少？
公司	gōngsī	n	company	非常欢迎你来参加我们公司的面试！
计算机	jìsuànjī	n	computer	好的，我到现在为止已经在计算机工程行业工作6年了。
奖金	jiǎngjīn	n	bonus	你认为每年10万元外加奖金如何？
能力	nénglì	n	ability	我的组织能力很强。
热情	rèqíng	a	enthusiasm	我做事非常有热情。
外语	wàiyǔ	n	foreign language	他有说两种外语的能力。
优点	yōudiǎn	n	advantage	你的弱点和优点是什么?
语言	yǔyán	n	language	我精通VC和Java语言。
招	zhāo	v	recruit	你是从哪里得到我们公司的招聘信息的？
知识	zhīshi	n	knowledge	我知识丰富、头脑冷静。
报酬	bàochou	n	remuneration	你知道我们公司给员工的报酬情况吗？
本科	běnkē	n	undergraduate	我本科毕业两年了。
笔试	bǐshì	v	written examination	笔试九十分，口试八十五分。
毕业生	bìyèshēng	n	graduate	把这个毕业生要到我们单位来。
操作	cāozuò	v	operate	我有电脑操作经验，熟悉微软Windows，Word和Excel。
单位	dānwèi	n	unit (as an organization, department, division, section, etc.)	他分进了科研单位
发展	fāzhǎn	v	develop	贵公司成立时间并不太长，但是发展得很快。
丰富	fēngfù	a	rich	我知识丰富、头脑冷静。
负责	fùzé	v	be responsible for	我负责过很多工作。
富有	fùyǒu	a	rich	我能与人合作，富有团队精神。
岗位	gǎngwèi	n	post	你是日语专业毕业的，为什么来应聘销售业余员的岗位呢？
工程师	gōngchéngshī	n	engineer	是，我有工程师资格证书和驾照。
官	guān	n	officer	这是招聘官。
合同	hétong	n	contract	什么时候签合同？
合作	hézuò	v	cooperate	我能与人合作，富有团队精神。
简历	jiǎnlì	n	resume	您好，这是我的个人简历，我叫刘易阳。
教育	jiàoyù	v	education	父母在家里也得多教育好孩子
经理	jīnglǐ	n	manager	我们没有找经理。
经验	jīngyàn	n	experience	你有工作经验吗？
精神	jīngshén	n	spirit	我能与人合作，富有团队精神。
冷静	lěngjìng	a	calm	我知识丰富、头脑冷静。
秘书	mìshū	n	secretary	我是詹小姐的秘书Memo。
面试	miànshì	v	interview	感谢你来参加我们公司的面试。我们会再通知你的。
内部	nèibù	nd	internal	欢迎你参加公司内部的竞聘。
年薪	niánxīn	n	annual salary	这个岗位的基本工资是年薪15万。
企业	qǐyè	n	enterprise	因为我非常欣赏贵公司的企业文化和对人才的培养。
求职	qiúzhí	v	apply for a job	你好，我是来求职的。
人才	réncái	n	talents	因为我非常欣赏贵公司的企业文化和对人才的培养。
弱点	ruòdiǎn	n	weakness	你的弱点和优点是什么？
申请	shēnqǐng	v	apply	你写那份申请，
实习	shíxí	v	internship	欢迎你们申请SC公司的实习机会，
熟练	shúliàn	a	skilled	我一直在银行工作，对金融业务比较熟练。
熟悉	shúxī	v	be familiar with	我有电脑操作经验，熟悉微软Windows，Word和Excel。
特长	tècháng	n	specialty	我的特长是唱歌。
挑战	tiǎozhàn	v	challenge	我们两个队挑战过两次。
文化	wénhuà	n	culture	因为我非常欣赏贵公司的企业文化和对人才的培养。
薪水	xīnshui	n	salary	还加我薪水。
性格	xìnggé	n	character	你认为你有怎样的性格?
月薪	yuèxīn	n	monthly salary	月薪多少？
长处	chángchù	n	strengths	你认为你有什么长处？
证明	zhèngmíng	v	prove	你可不可以尽快把你的各项证明交给我？
证书	zhèngshū	n	certificate	你有执照或资格证书吗?
专业	zhuānyè	n	major	请问您是学什么专业的?
自信	zìxìn	v	be self-confident	他很自信，甚至自负，倾全力干他的事业，这是主要之点。
总经理	zǒngjīnglǐ	n	general manager	各位朋友，出席今天晚会的有：公司董事长赵杰先生、总经理王蓉女士。
测试	cèshì	v	test	直到这位教授来了，他们才开始测试。
待遇	dàiyù	n	treatment	你对工资待遇方面有什么要求？
董事长	dǒngshìzhǎng	n	chairman	各位朋友，出席今天晚会的有：公司董事长赵杰先生、总经理王蓉女士。
行业	hángyè	n	industry	好的，我到现在为止已经在计算机工程行业工作6年了。
驾照	jiàzhào	j	drive license	是，我有工程师资格证书和驾照。
兼职	jiānzhí	v	part-time job	现在，在非正规教育中兼职教师的比例较大
经历	jīnglì	n	experience	我们各自经历了那么多，
精通	jīngtōng	v	master	我精通计算机。
年终	niánzhōng	nt	year-end	每月六千到八千，年终还有一两万的奖金。
全职	quánzhí	n	full-time	她是一个全职太太。
擅长	shàncháng	v	be good at	我不太擅长说话。
事业	shìyè	n	career	男人呢，最重要的是事业，
头脑	tóunǎo	n	mind	我知识丰富、头脑冷静。
团队	tuánduì	n	team	我能与人合作，富有团队精神。
外企	wàiqǐ	j	foreign enterprise	我们公司是外企，美国的。
文凭	wénpíng	n	diploma	我从来不看文凭的，
学历	xuélì	n	education background	在美国，要想找到一份好工作，是必须有学历证明文件的
学位	xuéwèi	n	academic degree	功夫不负有心人，她获得了硕士学位。
掌握	zhǎngwò	v	master	敌人的计划全都掌握在我们手中。
职务	zhíwù	n	post	一个人安了几个职务
职责	zhízé	n	duty	你能告诉我这份工作我的职责是什么吗？
志向	zhìxiàng	n	ambition	去追求更远大的志向。
资格	zīgé	n	qualification	你有执照或资格证书吗?
背景	bèijǐng	n	background	说说你的背景吧。
分配	fēnpèi	v	distribute	把你给分配过来了。
福利	fúlì	n	welfare	您能介绍一下这个岗位的福利待遇吗？
技能	jìnéng	n	skill	你能告诉我你有什么特殊技能吗？
精英	jīngyīng	n	elite	建议Martin暂时离开精英班，
竞聘	jìngpìn	v	compete for a post	欢迎你参加公司内部的竞聘。
录用	lùyòng	v	employ	恭喜你，你被我们公司录用了。
履历	lǚlì	n	resume	他还企图对人隐匿过去的乡村履历
培训	péixùn	v	train	我对自己进行了HR课程的系统培训。
培养	péiyǎng	v	cultivate	我非常欣赏贵公司的企业文化和对人才的培养。
聘用	pìnyòng	v	employ	您被聘用了。
评价	píngjià	v	evaluate	他们对他评价很高。
人事	rénshì	n	personnel matters	我只是个人事经理，
任职	rènzhí	v	hold a post	但不知道为什么这些公司在我任职期间
胜任	shèngrèn	v	be?qualified	你为什么认为你能胜任这份工作？
硕士	shuòshì	n	master	功夫不负有心人，她获得了硕士学位。
素质	sùzhì	n	quality	军队的素质要提高到一个新的水平
跳槽	tiàocáo	v	job hopping	跳槽吧，公司对你太不好了。
稳重	wěnzhòng	a	steady	还有稳重负责任的态度，
薪资	xīnzī	n	salary	主管薪资是支付给办公主管的薪水
应聘	yìngpìn	v	apply for	你为什么来本公司应聘？
招聘	zhāopìn	v	recruit	你是从哪里得到我们公司的招聘信息的？
执照	zhízhào	n	license	你有执照或资格证书吗？
职位	zhíwèi	n	position	我了解到这个职位的起薪大约是每个月2000美元。
职员	zhíyuán	n	staff member	当时，父亲是一家公司的普通职员，薪金微薄
主管	zhǔguǎn	n	executive director	我说主管，
助理	zhùlǐ	n	assistant	我助理。
低	dī	a	low	工资太低了。
老板	lǎobǎn	n	boss	下午好，老板。
升	shēng	v	rise	他的级别升上来了
接受	jiēshòu	v	accept	你这么说，我不能接受。
涨	zhǎng	v	rise	我想涨5%的工资。
挣	zhèng	v	earn	他一挣到钱就花掉。
计时	jìshí	v	reckon by time	工资是计时发的，一小时十元。
加班	jiābān	v	work?overtime	工资单上面没有显示我的加班补贴啊。
奖励	jiǎnglì	v	reward	考试成绩为优的，将得到奖励。。
民工	míngōng	n	migrant worker	还不去找民工一块找找原因
银子	yínzi	n	silver	而不是为了那几两银子。
支付	zhīfù	v	pay	您用什么支付方式，先生？
支票	zhīpiào	n	check	我可以用支票付款吗？
赚钱	zhuànqián	v	make money	我要赚钱！
补偿	bǔcháng	v	compensate	曹女士可以给你一笔补偿款，
辞职	cízhí	v	resign	我辞职了。
额外	éwài	a	additional	他发现赚点额外收入是容易的。
服从	fúcóng	v	obey	我当然要服从分配了！
股东	gǔdōng	n	shareholder	我是公司的大股东。
股份	gǔfèn	n	shares	公司要出售多少股份？
合约	héyuē	n	contract	虽然合约上已定，
价值	jiàzhí	n	value	我有价值2000美元的东西。
期望	qīwàng	n	expect	对于工资，你有什么样的期望呢？
前途	qiántú	n	future	你担心过他们的前途吗？
